msv,classID,timeStamp,emotion,diemTB_baitap,soAnhChup,soLanHoc,baiHoanThanh,tbThoiGian1LanHoc,tbThoiGianHoanThanhBai,tbPhanTramMoiLanHoc,tgianHocTrongTuan,tgianHocGioHanhChinh,tgianHocNgoaiHanhChinh,trongTuan,cuoiTuan
student_003,GENE1001-2-3-24(N01),51:00.7,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),51:00.8,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),51:03.4,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_021,GENE1001-2-3-24(N01),52:19.5,neutral,7.2,224,140,64,22.7,49.7,51,3181.7,2165.7,1016,551,2630.7
student_003,GENE1001-2-3-24(N01),58:28.9,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),58:35.9,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),58:36.0,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),59:03.2,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),59:08.9,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),59:08.9,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),59:09.6,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),59:17.6,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),59:17.6,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),59:27.3,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),00:13.0,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),00:29.1,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),00:29.2,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),04:05.5,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),04:50.3,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_021,GENE1001-2-3-24(N01),07:06.0,neutral,7.2,224,140,64,22.7,49.7,51,3181.7,2165.7,1016,551,2630.7
